time;Gb(i);Gd(i);Gr(i);solar_irradiance_total
20230101:0010;0;0;0;0
20230101:0110;0;0;0;0
20230101:0210;0;0;0;0
20230101:0310;0;0;0;0
20230101:0410;0;0;0;0
20230101:0510;0;0;0;0
20230101:0610;0;0;0;0
20230101:0710;113.51;18.1;0.51;132.12
20230101:0810;353.45;88.35;2.97;444.77
20230101:0910;434.58;130.49;4.84;569.91
20230101:1010;313.51;175.06;5.3;493.87
20230101:1110;576.99;136.09;6.53;719.61
20230101:1210;531.94;125.39;5.85;663.18
20230101:1310;326.32;118.94;3.91;449.17
20230101:1410;135.85;65.76;1.6;203.21
20230101:1510;0;0;0;0
20230101:1610;0;0;0;0
20230101:1710;0;0;0;0
20230101:1810;0;0;0;0
20230101:1910;0;0;0;0
20230101:2010;0;0;0;0
20230101:2110;0;0;0;0
20230101:2210;0;0;0;0
20230101:2310;0;0;0;0
20230102:0010;0;0;0;0
20230102:0110;0;0;0;0
20230102:0210;0;0;0;0
20230102:0310;0;0;0;0
20230102:0410;0;0;0;0
20230102:0510;0;0;0;0
20230102:0610;0;0;0;0
20230102:0710;0;6.23;0.15;6.38
20230102:0810;56.79;74.9;1.85;133.54
20230102:0910;29.47;101.75;2.57;133.79
20230102:1010;18.7;114.16;2.88;135.74
20230102:1110;23.42;123.24;3.12;149.78
20230102:1210;0;78.27;1.93;80.2
20230102:1310;0;59.59;1.47;61.06
20230102:1410;0;26.68;0.66;27.34
20230102:1510;0;0;0;0
20230102:1610;0;0;0;0
20230102:1710;0;0;0;0
20230102:1810;0;0;0;0
20230102:1910;0;0;0;0
20230102:2010;0;0;0;0
20230102:2110;0;0;0;0
20230102:2210;0;0;0;0
20230102:2310;0;0;0;0
20230103:0010;0;0;0;0
20230103:0110;0;0;0;0
20230103:0210;0;0;0;0
20230103:0310;0;0;0;0
20230103:0410;0;0;0;0
20230103:0510;0;0;0;0
20230103:0610;0;0;0;0
20230103:0710;0;1.78;0.04;1.82
20230103:0810;0;39.14;0.97;40.11
20230103:0910;70.47;119.1;3.06;192.63
20230103:1010;2.66;90.28;2.24;95.18
20230103:1110;20.74;121.73;3.08;145.55
20230103:1210;0;67.6;1.67;69.27
20230103:1310;33.11;90.03;2.29;125.43
20230103:1410;17.02;40.77;1.01;58.8
20230103:1510;0;0;0;0
20230103:1610;0;0;0;0
20230103:1710;0;0;0;0
20230103:1810;0;0;0;0
20230103:1910;0;0;0;0
20230103:2010;0;0;0;0
20230103:2110;0;0;0;0
20230103:2210;0;0;0;0
20230103:2310;0;0;0;0
20230104:0010;0;0;0;0
20230104:0110;0;0;0;0
20230104:0210;0;0;0;0
20230104:0310;0;0;0;0
20230104:0410;0;0;0;0
20230104:0510;0;0;0;0
20230104:0610;0;0;0;0
20230104:0710;110.23;17.86;0.51;128.6
20230104:0810;326.23;93.77;2.95;422.95
20230104:0910;508.84;117.14;5.17;631.15
20230104:1010;647.06;113.71;6.66;767.43
20230104:1110;604.12;134.16;6.77;745.05
20230104:1210;537.99;129.94;6.02;673.95
20230104:1310;304.8;126.34;3.98;435.12
20230104:1410;159.26;71.8;1.8;232.86
20230104:1510;0;0;0;0
20230104:1610;0;0;0;0
20230104:1710;0;0;0;0
20230104:1810;0;0;0;0
20230104:1910;0;0;0;0
20230104:2010;0;0;0;0
20230104:2110;0;0;0;0
20230104:2210;0;0;0;0
20230104:2310;0;0;0;0
20230105:0010;0;0;0;0
20230105:0110;0;0;0;0
20230105:0210;0;0;0;0
20230105:0310;0;0;0;0
20230105:0410;0;0;0;0
20230105:0510;0;0;0;0
20230105:0610;0;0;0;0
20230105:0710;138.26;18.02;0.55;156.83
20230105:0810;18.64;60.02;1.49;80.15
20230105:0910;40.76;108.01;2.75;151.52
20230105:1010;55.46;137.25;3.54;196.25
20230105:1110;0;35.58;0.88;36.46
20230105:1210;121.88;151.69;4.04;277.61
20230105:1310;228.39;128.91;3.69;360.99
20230105:1410;259.93;66.21;2.09;328.23
20230105:1510;0;0;0;0
20230105:1610;0;0;0;0
20230105:1710;0;0;0;0
20230105:1810;0;0;0;0
20230105:1910;0;0;0;0
20230105:2010;0;0;0;0
20230105:2110;0;0;0;0
20230105:2210;0;0;0;0
20230105:2310;0;0;0;0
20230106:0010;0;0;0;0
20230106:0110;0;0;0;0
20230106:0210;0;0;0;0
20230106:0310;0;0;0;0
20230106:0410;0;0;0;0
20230106:0510;0;0;0;0
20230106:0610;0;0;0;0
20230106:0710;0;7.12;0.18;7.3
20230106:0810;18.53;60.92;1.52;80.97
20230106:0910;31.88;104.03;2.64;138.55
20230106:1010;236.68;177;5.03;418.71
20230106:1110;322.44;184.04;5.69;512.17
20230106:1210;479.63;143.99;5.87;629.49
20230106:1310;203.08;129.84;3.63;336.55
20230106:1410;154.29;72.51;1.85;228.65
20230106:1510;0;0;0;0
20230106:1610;0;0;0;0
20230106:1710;0;0;0;0
20230106:1810;0;0;0;0
20230106:1910;0;0;0;0
20230106:2010;0;0;0;0
20230106:2110;0;0;0;0
20230106:2210;0;0;0;0
20230106:2310;0;0;0;0
20230107:0010;0;0;0;0
20230107:0110;0;0;0;0
20230107:0210;0;0;0;0
20230107:0310;0;0;0;0
20230107:0410;0;0;0;0
20230107:0510;0;0;0;0
20230107:0610;0;0;0;0
20230107:0710;104.81;18.92;0.53;124.26
20230107:0810;334.87;93.94;3.03;431.84
20230107:0910;530.5;112.59;5.32;648.41
20230107:1010;222.5;178.46;5.01;405.97
20230107:1110;366.75;185.08;5.98;557.81
20230107:1210;479.54;146.68;5.94;632.16
20230107:1310;35.04;95.89;2.44;133.37
20230107:1410;243.65;71.96;2.15;317.76
20230107:1510;0;0;0;0
20230107:1610;0;0;0;0
20230107:1710;0;0;0;0
20230107:1810;0;0;0;0
20230107:1910;0;0;0;0
20230107:2010;0;0;0;0
20230107:2110;0;0;0;0
20230107:2210;0;0;0;0
20230107:2310;0;0;0;0
20230108:0010;0;0;0;0
20230108:0110;0;0;0;0
20230108:0210;0;0;0;0
20230108:0310;0;0;0;0
20230108:0410;0;0;0;0
20230108:0510;0;0;0;0
20230108:0610;0;0;0;0
20230108:0710;0;1.78;0.04;1.82
20230108:0810;7.31;53.9;1.34;62.55
20230108:0910;335.51;151.08;4.7;491.29
20230108:1010;0;59.59;1.47;61.06
20230108:1110;0;35.58;0.88;36.46
20230108:1210;0;49.81;1.23;51.04
