time;PPV
20230101:0010;0
20230101:0110;0
20230101:0210;0
20230101:0310;0
20230101:0410;0
20230101:0510;0
20230101:0610;0
20230101:0710;73.44
20230101:0810;317.16
20230101:0910;422.92
20230101:1010;377.62
20230101:1110;535.32
20230101:1210;497.71
20230101:1310;341.11
20230101:1410;144.71
20230101:1510;0
20230101:1610;0
20230101:1710;0
20230101:1810;0
20230101:1910;0
20230101:2010;0
20230101:2110;0
20230101:2210;0
20230101:2310;0
20230102:0010;0
20230102:0110;0
20230102:0210;0
20230102:0310;0
20230102:0410;0
20230102:0510;0
20230102:0610;0
20230102:0710;0.43
20230102:0810;95.17
20230102:0910;102.12
20230102:1010;105.9
20230102:1110;117.85
20230102:1210;58.12
20230102:1310;41.36
20230102:1410;13.8
20230102:1510;0
20230102:1610;0
20230102:1710;0
20230102:1810;0
20230102:1910;0
20230102:2010;0
20230102:2110;0
20230102:2210;0
20230102:2310;0
20230103:0010;0
20230103:0110;0
20230103:0210;0
20230103:0310;0
20230103:0410;0
20230103:0510;0
20230103:0610;0
20230103:0710;0
20230103:0810;23.98
20230103:0910;147.84
20230103:1010;70.85
20230103:1110;113.36
20230103:1210;47.96
20230103:1310;93.09
20230103:1410;36.37
20230103:1510;0
20230103:1610;0
20230103:1710;0
20230103:1810;0
20230103:1910;0
20230103:2010;0
20230103:2110;0
20230103:2210;0
20230103:2310;0
20230104:0010;0
20230104:0110;0
20230104:0210;0
20230104:0310;0
20230104:0410;0
20230104:0510;0
20230104:0610;0
20230104:0710;72.43
20230104:0810;308.5
20230104:0910;474.16
20230104:1010;575.77
20230104:1110;562.33
20230104:1210;512.83
20230104:1310;332.6
20230104:1410;168.27
20230104:1510;0
20230104:1610;0
20230104:1710;0
20230104:1810;0
20230104:1910;0
20230104:2010;0
20230104:2110;0
20230104:2210;0
20230104:2310;0
20230105:0010;0
20230105:0110;0
20230105:0210;0
20230105:0310;0
20230105:0410;0
20230105:0510;0
20230105:0610;0
20230105:0710;86.71
20230105:0810;53.23
20230105:0910;113.75
20230105:1010;153
20230105:1110;20.37
20230105:1210;218.2
20230105:1310;278.84
20230105:1410;240.99
20230105:1510;0
20230105:1610;0
20230105:1710;0
20230105:1810;0
20230105:1910;0
20230105:2010;0
20230105:2110;0
20230105:2210;0
20230105:2310;0
20230106:0010;0
20230106:0110;0
20230106:0210;0
20230106:0310;0
20230106:0410;0
20230106:0510;0
20230106:0610;0
20230106:0710;0.8
20230106:0810;54.88
20230106:0910;104.82
20230106:1010;323.98
20230106:1110;395.02
20230106:1210;476.96
20230106:1310;256.54
20230106:1410;164
20230106:1510;0
20230106:1610;0
20230106:1710;0
20230106:1810;0
20230106:1910;0
20230106:2010;0
20230106:2110;0
20230106:2210;0
20230106:2310;0
20230107:0010;0
20230107:0110;0
20230107:0210;0
20230107:0310;0
20230107:0410;0
20230107:0510;0
20230107:0610;0
20230107:0710;68.48
20230107:0810;309.63
20230107:0910;474.17
20230107:1010;313.37
20230107:1110;428.83
20230107:1210;483.61
20230107:1310;99.69
20230107:1410;233.23
20230107:1510;0
20230107:1610;0
20230107:1710;0
20230107:1810;0
20230107:1910;0
20230107:2010;0
20230107:2110;0
20230107:2210;0
20230107:2310;0
20230108:0010;0
20230108:0110;0
20230108:0210;0
20230108:0310;0
20230108:0410;0
20230108:0510;0
20230108:0610;0
20230108:0710;0
20230108:0810;42.07
20230108:0910;380.65
20230108:1010;42.17
20230108:1110;21.21
20230108:1210;33.27
20230108:1310;49.22
20230108:1410;6.72
20230108:1510;0
20230108:1610;0
20230108:1710;0
20230108:1810;0
20230108:1910;0
20230108:2010;0
20230108:2110;0
20230108:2210;0
20230108:2310;0
20230109:0010;0
20230109:0110;0
20230109:0210;0
20230109:0310;0
20230109:0410;0
