time;T2m(gradC);T2m
20230101:0010;4.9;278.05
20230101:0110;4.3;277.45
20230101:0210;4.15;277.3
20230101:0310;3.75;276.9
20230101:0410;3.75;276.9
20230101:0510;3.95;277.1
20230101:0610;3.65;276.8
20230101:0710;3.95;277.1
20230101:0810;3.75;276.9
20230101:0910;4.1;277.25
20230101:1010;4.8;277.95
20230101:1110;6.35;279.5
20230101:1210;6.85;280.0
20230101:1310;7.0;280.15
20230101:1410;7.2;280.35
20230101:1510;7.15;280.3
20230101:1610;6.95;280.1
20230101:1710;6.65;279.8
20230101:1810;6.15;279.3
20230101:1910;5.65;278.8
20230101:2010;5.0;278.15
20230101:2110;4.95;278.1
20230101:2210;4.9;278.05
20230101:2310;4.75;277.9
20230102:0010;3.35;276.5
20230102:0110;3.85;277.0
20230102:0210;3.6;276.75
20230102:0310;2.85;276.0
20230102:0410;2.55;275.7
20230102:0510;2.25;275.4
20230102:0610;2.45;275.6
20230102:0710;2.5;275.65
20230102:0810;2.55;275.7
20230102:0910;2.65;275.8
20230102:1010;3.05;276.2
20230102:1110;3.7;276.85
20230102:1210;4.15;277.3
20230102:1310;3.8;276.95
20230102:1410;4.85;278.0
20230102:1510;4.6;277.75
20230102:1610;4.2;277.35
20230102:1710;4.05;277.2
20230102:1810;3.8;276.95
20230102:1910;3.8;276.95
20230102:2010;3.5;276.65
20230102:2110;3.4;276.55
20230102:2210;2.95;276.1
20230102:2310;3.9;277.05
20230103:0010;3.65;276.8
20230103:0110;3.6;276.75
20230103:0210;3.5;276.65
20230103:0310;3.55;276.7
20230103:0410;3.65;276.8
20230103:0510;3.45;276.6
20230103:0610;2.95;276.1
20230103:0710;2.9;276.05
20230103:0810;3.0;276.15
20230103:0910;3.25;276.4
20230103:1010;3.5;276.65
20230103:1110;3.8;276.95
20230103:1210;4.65;277.8
20230103:1310;5.0;278.15
20230103:1410;5.1;278.25
20230103:1510;5.1;278.25
20230103:1610;4.85;278.0
20230103:1710;3.8;276.95
20230103:1810;3.5;276.65
20230103:1910;3.55;276.7
20230103:2010;3.4;276.55
20230103:2110;3.5;276.65
20230103:2210;3.15;276.3
20230103:2310;3.1;276.25
20230104:0010;3.05;276.2
20230104:0110;3.6;276.75
20230104:0210;5.55;278.7
