time;T2m(gradC);T2m;;;
20230101:0010;5.39;278.54;;;
20230101:0110;5.33;278.48;;;
20230101:0210;5.28;278.43;;;
20230101:0310;4.87;278.02;;;
20230101:0410;2.7;275.85;;;
20230101:0510;1.85;275;;;5.001666667
20230101:0610;2.55;275.7;;;
20230101:0710;3.7;276.85;;;
20230101:0810;3.94;277.09;;;
20230101:0910;4.81;277.96;;;
20230101:1010;6.59;279.74;;;
20230101:1110;7.75;280.9;;;
20230101:1210;8.56;281.71;;;
20230101:1310;8.66;281.81;;;
20230101:1410;8.52;281.67;;;
20230101:1510;7.55;280.7;;;
20230101:1610;6.33;279.48;;;
20230101:1710;5.42;278.57;;;
20230101:1810;4.82;277.97;;;
20230101:1910;4.3;277.45;;;
20230101:2010;3.46;276.61;;;
20230101:2110;2.89;276.04;;;
20230101:2210;2.54;275.69;;;
20230101:2310;2.23;275.38;;;
20230102:0010;1.86;275.01;;;
20230102:0110;1.88;275.03;;;
20230102:0210;1.82;274.97;;;
20230102:0310;2.39;275.54;;;
20230102:0410;2.77;275.92;;;
20230102:0510;3.02;276.17;;;
20230102:0610;3.14;276.29;;;
20230102:0710;2.49;275.64;;;
20230102:0810;3.05;276.2;;;
20230102:0910;4.91;278.06;;;
20230102:1010;5.73;278.88;;;
20230102:1110;6.32;279.47;;;
20230102:1210;6.75;279.9;;;
20230102:1310;6.89;280.04;;;
20230102:1410;6.62;279.77;;;
20230102:1510;6.2;279.35;;;
20230102:1610;5.74;278.89;;;
20230102:1710;5.28;278.43;;;
20230102:1810;4.95;278.1;;;
20230102:1910;4.33;277.48;;;
20230102:2010;4.26;277.41;;;
20230102:2110;4.1;277.25;;;
20230102:2210;4.11;277.26;;;
20230102:2310;3.79;276.94;;;
20230103:0010;3.55;276.7;;;
20230103:0110;3.27;276.42;;;
20230103:0210;2.91;276.06;;;
20230103:0310;3.07;276.22;;;
20230103:0410;3.43;276.58;;;
20230103:0510;3.79;276.94;;;
20230103:0610;4.23;277.38;;;
20230103:0710;4.59;277.74;;;
20230103:0810;5.46;278.61;;;
20230103:0910;6.71;279.86;;;
20230103:1010;7.99;281.14;;;
20230103:1110;8.97;282.12;;;
20230103:1210;9.46;282.61;;;
20230103:1310;9.26;282.41;;;
20230103:1410;8.75;281.9;;;
20230103:1510;7.94;281.09;;;
20230103:1610;7.27;280.42;;;
20230103:1710;6.89;280.04;;;
20230103:1810;6.5;279.65;;;
20230103:1910;6.01;279.16;;;
20230103:2010;5.8;278.95;;;
20230103:2110;5.44;278.59;;;
20230103:2210;4.63;277.78;;;
20230103:2310;4.11;277.26;;;
20230104:0010;3.72;276.87;;;
