calendar_year,annual_mean_temp_c,annual_shortwave_kwh_m2,annual_dni_kwh_m2,hdd18,winter_mean_temp_c,winter_shortwave_kwh_m2,winter_dni_kwh_m2,winter_hdd18,representative_distance
2016,11.168058737859573,1229.47,1387.271071566,2909.1265854017292,2.8901527704542365,84.853,122.2554290139,906.5908337727459,4.275994647177421
2017,11.229743150684932,1248.437,1451.8292466451003,2937.84375,-0.11812129964828703,126.723,223.790463227,1630.6309169683457,3.330422058453482
2018,12.175970319634704,1281.342,1475.2854365386,2698.539583333333,1.7364814814814815,107.932,155.087947837,1463.7166666666665,1.4724610642136142
2019,12.041626712328766,1257.838,1490.8853751036,2681.670833333333,2.1588425925925927,123.473,211.33973032880002,1425.7041666666667,1.3953951024302953
2020,11.47220514571949,1271.248,1538.7458151877001,2750.78125,3.1486950549450547,125.157,232.38434478119999,1351.46875,1.1446758575680762
2021,10.771295662100457,1297.328,1578.3963143826002,3042.38125,2.094837962962963,114.531,190.07667496899998,1431.4645833333332,2.52194763383336
2022,11.739463470319635,1325.845,1585.1579585869001,2738.3020833333335,3.2494212962962963,122.473,221.7317809971,1327.5520833333333,1.6870308060842794
2023,12.233373287671233,1279.835,1496.9469886202003,2607.2479166666667,2.8902083333333337,115.385,181.88101573839998,1359.88125,1.542489823332036
2024,12.73243966302368,1320.412,1590.8560839557001,2539.170833333333,4.272893772893773,125.11,227.55914477930003,1249.1666666666667,3.3167346806935325
2025,11.453242009132419,1318.371,1574.4228950324998,2859.5437499999994,1.6925000000000001,119.241,198.69819793839997,1467.675,1.6162642691690545
