date,price_eur_per_tco2,source,frequency_proxy
2020-01-01,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-02,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-03,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-04,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-05,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-06,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-07,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-08,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-09,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-10,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-11,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-12,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-13,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-14,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-15,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-16,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-17,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-18,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-19,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-20,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-21,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-22,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-23,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-24,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-25,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-26,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-27,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-28,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-29,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-30,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-01-31,24.496363636363636,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-01,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-02,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-03,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-04,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-05,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-06,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-07,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-08,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-09,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-10,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-11,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-12,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-13,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-14,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-15,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-16,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-17,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-18,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-19,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-20,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-21,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-22,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-23,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-24,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-25,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-26,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-27,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-28,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-02-29,24.181,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-03-01,19.890454545454546,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-03-02,19.890454545454546,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-03-03,19.890454545454546,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-03-04,19.890454545454546,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-03-05,19.890454545454546,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
2020-03-06,19.890454545454546,EU ETS daily settlement aggregated to monthly mean from local historical file,monthly_mean_repeated_daily
