Year,Month,Day,Hour,Minute,zone_windows_transmitted_solar_rate_w,site_outdoor_air_drybulb_c,zone_air_heat_balance_outdoor_air_transfer_rate_w,zone_ideal_loads_outdoor_air_sensible_cooling_rate_w,zone_ideal_loads_outdoor_air_sensible_heating_rate_w,zone_total_cooling_rate_w,zone_total_heating_rate_w,zone_infiltration_sensible_heat_gain_energy_j,zone_infiltration_sensible_heat_loss_energy_j,zone_mean_air_temperature_c,zone_ventilation_sensible_heat_gain_energy_j,zone_ventilation_sensible_heat_loss_energy_j,zone_windows_total_heat_gain_rate_w,zone_windows_total_heat_loss_rate_w,zone_total_heating_kwh,zone_total_cooling_kwh,zone_windows_transmitted_solar_kwh,zone_windows_total_heat_gain_kwh,zone_windows_total_heat_loss_kwh,zone_infiltration_sensible_heat_loss_kwh,zone_infiltration_sensible_heat_gain_kwh,zone_ventilation_sensible_heat_loss_kwh,zone_ventilation_sensible_heat_gain_kwh,zone_air_heat_balance_outdoor_air_loss_kwh,zone_air_heat_balance_outdoor_air_gain_kwh,zone_ideal_loads_outdoor_air_sensible_heating_kwh,zone_ideal_loads_outdoor_air_sensible_cooling_kwh,heating_kwh_per_reference_gfa_m2,cooling_kwh_per_reference_gfa_m2,zone_total_heating_rate_w_scaled_to_cohort,zone_total_cooling_rate_w_scaled_to_cohort,timestamp_local,heating_setpoint_c,cooling_setpoint_c,internal_gains_w_m2,infiltration_ach,ventilation_ach,internal_gains_fraction,infiltration_fraction,ventilation_fraction,event_type,event_active,event_elapsed_h,event_remaining_h,event_setpoint_delta_c,reference_heating_setpoint_c,heating_setpoint_delta_c,epw_outdoor_air_drybulb_c,epw_ghi_wh_m2,epw_dni_wh_m2,epw_dhi_wh_m2,internal_gains_total_w,approx_transmission_loss_seed_ua_w,approx_transmission_gain_seed_ua_w,approx_infiltration_loss_w,approx_infiltration_gain_w,approx_ventilation_loss_w,approx_ventilation_gain_w,window_to_floor_ratio_reference,wall_to_floor_ratio_reference,roof_to_floor_ratio_reference,floor_exposed_to_floor_ratio_reference,window_solar_transmitted_kwh,window_heat_gain_kwh,window_heat_loss_kwh,teacher_infiltration_sensible_heat_loss_kwh,teacher_infiltration_sensible_heat_gain_kwh,teacher_ventilation_sensible_heat_loss_kwh,teacher_ventilation_sensible_heat_gain_kwh,teacher_infiltration_sensible_heat_loss_w,teacher_ventilation_sensible_heat_loss_w,teacher_outdoor_air_loss_w,teacher_outdoor_air_gain_w,teacher_outdoor_air_loss_kwh,teacher_outdoor_air_gain_kwh,teacher_ideal_loads_outdoor_air_sensible_heating_kwh,teacher_ideal_loads_outdoor_air_sensible_cooling_kwh,cohort_id,heating_w_per_m2,internal_gains_w_per_m2,solar_gains_w_per_m2,transmission_loss_w_per_m2,ventilation_loss_w_per_m2
2021,1,18,1,0,0.0,-5.1,-2062.0617135007587,0.0,0.0,0.0,32550.982241216345,0.0,7423422.168602731,22.0,0.0,0.0,0.0,8164.860614835888,32.550982241216346,0.0,0.0,0.0,8.164860614835888,2.062061713500759,0.0,0.0,0.0,2.062061713500759,0.0,0.0,0.0,0.0325509822412163,0.0,1580644285.2253995,0.0,2021-01-18 00:00:00,22.0,27.0,1.629709571,0.07,0.372817549,0.1493430224865358,1.0,0.7852894808335428,none,0.0,0.0,0.0,0.0,22.0,0.0,-5.1,0,0,0,1629.709571,91896.1,0.0,1934.9471298899043,0.0,10305.460663001984,0.0,0.18,0.82,0.37,0.36,0.0,0.0,8.164860614835888,2.062061713500759,0.0,0.0,0.0,2062.0617135007587,0.0,2062.0617135007587,0.0,2.062061713500759,0.0,0.0,0.0,residential_pre1975,32.550982241216346,1.629709571,0.0,91.8961,10.305460663001984
2021,1,18,2,0,0.0,-3.0,-1887.810531936313,0.0,0.0,0.0,30908.93099218025,0.0,6796117.914970727,22.0,0.0,0.0,0.0,7473.152831228215,30.90893099218025,0.0,0.0,0.0,7.473152831228215,1.887810531936313,0.0,0.0,0.0,1.887810531936313,0.0,0.0,0.0,0.0309089309921802,0.0,1500907861.1874888,0.0,2021-01-18 01:00:00,22.0,27.0,1.565651263,0.07,0.372817549,0.1434728591750304,1.0,0.7852894808335428,none,0.0,0.0,0.0,0.0,22.0,0.0,-3.0,0,0,0,1565.651263,84774.99999999999,0.0,1785.0065773892102,0.0,9506.88253044463,0.0,0.18,0.82,0.37,0.36,0.0,0.0,7.473152831228215,1.887810531936313,0.0,0.0,0.0,1887.810531936313,0.0,1887.810531936313,0.0,1.887810531936313,0.0,0.0,0.0,residential_pre1975,30.90893099218025,1.565651263,0.0,84.77499999999999,9.506882530444631
2021,1,18,3,0,0.0,-3.1,-1896.1865836456584,0.0,0.0,0.0,31482.29345271621,0.0,6826271.701124372,22.000000000000004,0.0,0.0,0.0,7897.152126354498,31.482293452716213,0.0,0.0,0.0,7.897152126354499,1.8961865836456588,0.0,0.0,0.0,1.8961865836456584,0.0,0.0,0.0,0.0314822934527162,0.0,1528749788.9638312,0.0,2021-01-18 02:00:00,22.0,27.0,1.546836934,0.07,0.372817549,0.141748755194226,1.0,0.7852894808335428,none,0.0,0.0,0.0,0.0,22.0,0.0,-3.1,0,0,0,1546.8369340000002,85114.10000000002,0.0,1792.1466036987676,0.0,9544.910060566412,0.0,0.18,0.82,0.37,0.36,0.0,0.0,7.897152126354499,1.8961865836456588,0.0,0.0,0.0,1896.1865836456589,0.0,1896.1865836456584,0.0,1.8961865836456584,0.0,0.0,0.0,residential_pre1975,31.48229345271621,1.546836934,0.0,85.11410000000002,9.544910060566412
2021,1,18,4,0,0.0,-3.6,-1936.8047806461277,0.0,0.0,3.637978807091713e-12,32562.687871563427,0.0,6972497.210326059,22.000000000000007,0.0,0.0,0.0,8168.748646333188,32.562687871563426,3.637978807091713e-15,0.0,0.0,8.168748646333189,1.9368047806461277,0.0,0.0,0.0,1.9368047806461277,0.0,0.0,0.0,0.0325626878715634,3.6379788070917136e-18,1581212699.3388655,1.766567401434507e-07,2021-01-18 03:00:00,22.0,27.0,1.558035939,0.07,0.372817549,0.1427750075310246,1.0,0.7852894808335428,none,0.0,0.0,0.0,0.0,22.0,0.0,-3.6,0,0,0,1558.035939,86809.60000000003,0.0,1827.846735246552,0.0,9735.047711175306,0.0,0.18,0.82,0.37,0.36,0.0,0.0,8.168748646333189,1.9368047806461277,0.0,0.0,0.0,1936.8047806461277,0.0,1936.8047806461277,0.0,1.9368047806461277,0.0,0.0,0.0,residential_pre1975,32.562687871563426,1.558035939,0.0,86.80960000000003,9.735047711175307
2021,1,18,5,0,0.0,-4.3,-1994.5648582718284,0.0,0.0,0.0,33431.056052169704,0.0,7180433.489778582,22.0,0.0,0.0,0.0,8462.31812981221,33.4310560521697,0.0,0.0,0.0,8.46231812981221,1.9945648582718285,0.0,0.0,0.0,1.9945648582718285,0.0,0.0,0.0,0.0334310560521697,0.0,1623379820.1948657,0.0,2021-01-18 04:00:00,22.0,27.0,1.696903601,0.07,0.474751742,0.1555005365073275,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-4.3,0,0,0,1696.903601,89183.29999999999,0.0,1877.826919413449,0.0,12735.737159514692,0.0,0.18,0.82,0.37,0.36,0.0,0.0,8.46231812981221,1.9945648582718285,0.0,0.0,0.0,1994.5648582718284,0.0,1994.5648582718284,0.0,1.9945648582718285,0.0,0.0,0.0,residential_pre1975,33.4310560521697,1.696903601,0.0,89.18329999999999,12.735737159514692
2021,1,18,6,0,0.0,-5.0,-2052.6121492439534,0.0,0.0,0.0,33537.2955224562,0.0,7389403.737278232,22.0,0.0,0.0,0.0,8657.08286938492,33.537295522456205,0.0,0.0,0.0,8.65708286938492,2.052612149243953,0.0,0.0,0.0,2.052612149243953,0.0,0.0,0.0,0.0335372955224562,0.0,1628538706.3485713,0.0,2021-01-18 05:00:00,22.0,27.0,2.757409394,0.07,0.474751742,0.2526829690765356,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-5.0,0,0,0,2757.409394,91557.0,0.0,1927.8071035803475,0.0,13074.711152353488,0.0,0.18,0.82,0.37,0.36,0.0,0.0,8.65708286938492,2.052612149243953,0.0,0.0,0.0,2052.6121492439534,0.0,2052.6121492439534,0.0,2.052612149243953,0.0,0.0,0.0,residential_pre1975,33.537295522456205,2.7574093939999997,0.0,91.557,13.074711152353487
2021,1,18,7,0,0.0,-5.3,-2077.680963784921,0.0,0.0,7.275957614183426e-12,33061.51101458381,0.0,7479651.469625715,22.0,0.0,0.0,0.0,8645.684298655211,33.061511014583814,7.275957614183426e-15,0.0,0.0,8.645684298655212,2.0776809637849207,0.0,0.0,0.0,2.077680963784921,0.0,0.0,0.0,0.0330615110145838,7.275957614183427e-18,1605435069.788719,3.5331348028690134e-07,2021-01-18 06:00:00,22.0,27.0,4.092954646,0.07,0.474751742,0.3750694164230009,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-5.3,0,0,0,4092.954646,92574.3,0.0,1949.2271825090177,0.0,13219.98572071297,0.0,0.18,0.82,0.37,0.36,0.0,0.0,8.645684298655212,2.0776809637849207,0.0,0.0,0.0,2077.680963784921,0.0,2077.680963784921,0.0,2.077680963784921,0.0,0.0,0.0,residential_pre1975,33.061511014583814,4.092954646,0.0,92.57430000000001,13.21998572071297
2021,1,18,8,0,0.0,-5.5,-2095.263321277838,0.0,0.0,7.275957614183426e-12,32882.757517644204,0.0,7542947.956600216,22.0,0.0,0.0,0.0,8537.51425253717,32.8827575176442,7.275957614183426e-15,0.0,0.0,8.53751425253717,2.0952633212778378,0.0,0.0,0.0,2.0952633212778378,0.0,0.0,0.0,0.0328827575176442,7.275957614183427e-18,1596754972.478356,3.5331348028690134e-07,2021-01-18 07:00:00,22.0,27.0,4.560374093,0.07,0.474751742,0.4179027127514577,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-5.5,0,0,0,4560.374093,93252.5,0.0,1963.5072351281312,0.0,13316.835432952625,0.0,0.18,0.82,0.37,0.36,0.0,0.0,8.53751425253717,2.0952633212778378,0.0,0.0,0.0,2095.263321277838,0.0,2095.263321277838,0.0,2.0952633212778378,0.0,0.0,0.0,residential_pre1975,32.8827575176442,4.560374093,0.0,93.2525,13.316835432952624
2021,1,18,9,0,1671.3316800222296,-5.2,-2070.152519129111,0.0,0.0,0.0,31613.93494846084,0.0,7452549.0688648,22.0,0.0,0.0,0.0,6947.875571066158,31.613934948460837,0.0,1.6713316800222295,0.0,6.947875571066158,2.070152519129111,0.0,0.0,0.0,2.070152519129111,0.0,0.0,0.0,0.0316139349484608,0.0,1535142172.9602745,0.0,2021-01-18 08:00:00,22.0,27.0,3.981860517,0.07,0.474751742,0.3648889932969413,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-5.2,2,29,1,3981.860517,92235.19999999998,0.0,1942.0871561994609,0.0,13171.560864593142,0.0,0.18,0.82,0.37,0.36,1.6713316800222295,0.0,6.947875571066158,2.070152519129111,0.0,0.0,0.0,2070.152519129111,0.0,2070.152519129111,0.0,2.070152519129111,0.0,0.0,0.0,residential_pre1975,31.61393494846084,3.981860517,1.6713316800222295,92.23519999999998,13.171560864593143
2021,1,18,10,0,16160.99942406762,-4.0,-1970.507044972472,0.0,0.0,0.0,19026.161958313576,0.0,7093825.361900899,22.0,0.0,0.0,8325.113466268205,0.0,19.026161958313576,0.0,16.16099942406762,8.325113466268204,0.0,1.970507044972472,0.0,0.0,0.0,1.970507044972472,0.0,0.0,0.0,0.0190261619583135,0.0,923892064.0343012,0.0,2021-01-18 09:00:00,22.0,27.0,3.72556163,0.07,0.474751742,0.3414023235702437,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-4.0,56,223,32,3725.56163,88166.0,0.0,1856.406840484779,0.0,12590.46259115521,0.0,0.18,0.82,0.37,0.36,16.16099942406762,8.325113466268204,0.0,1.970507044972472,0.0,0.0,0.0,1970.507044972472,0.0,1970.507044972472,0.0,1.970507044972472,0.0,0.0,0.0,residential_pre1975,19.026161958313576,3.72556163,16.160999424067622,88.166,12.59046259115521
