term,frequency
Gaussian process,36
electric load flow,30
stochastic systems,29
gaussian distribution,28
gaussian noise electronic,27
learning systems,26
radial basis function networks,25
power,19
energy utilization,18
iterative methods,18
monte carlo methods,17
learning algorithms,15
smart power grids,15
stochastic models,14
algorithm,12
acoustic generators,11
probability distributions,11
meta model,10
investments,10
cooling,9
surface properties,9
polynomials,9
power generation,9
electric utilities,8
numerical model,8
mean square error,8
controllers,8
numerical methods,8
lithium ion batteries,8
power markets,8
gaussian method,8
long short term memory,8
functions,8
computational modelling,7
load modeling,7
objective functions,7
generator,7
intelligent systems,7
heating,7
electric loads,7
random processes,7
interpolation,7
reactive power,7
distributed power generation,7
energy resource,7
prediction,7
real time systems,6
commerce,6
energy resources,6
performance assessment,6
housing,6
two term control systems,6
computation theory,6
fossil fuels,6
sampling,6
radial basis function rbf,6
electricity,6
charging batteries,6
multi objective,6
unit commitment,5
accuracy assessment,5
power control,5
energy policy,5
case studies,5
heuristic algorithms,5
quadratic programming,5
chance constraint,5
chance constrained,5
system stability,5
demand response,5
benchmarking,5
energy markets,5
demand side management,5
chaos expansions,5
ions,5
fuel additives,5
probability,5
real time,4
detection method,4
computational time,4
radial basis functions,4
power quality,4
mixed integer linear,4
hybrid systems,4
greenhouse gases,4
turing machines,4
real time control,4
load flow,4
uranium compounds,4
probabilistic power flow,4
energy market,4
electricity generation,4
least squares approximations,4
cogeneration plants,4
secondary batteries,4
day ahead,4
distribution functions,4
design,4
energy transitions,4
budget control,4
performance,4
predictive models,4
probabilistic logics,4
predictive control systems,4
heating equipment,4
expansion,4
exergy,4
modeling,3
end to end,3
electricity supply,3
china,3
learning based approach,3
large scales,3
mapping,3
estimation method,3
voltage control,3
mapping relationships,3
computer software,3
fuel consumption,3
electric losses,3
phase change materials,3
biofuel,3
approximation algorithms,3
interactive computer systems,3
real time system,3
learning,3
nonlinear equations,3
resource allocation,3
markov processes,3
matlab,3
cooling systems,3
integrated approach,3
speed,3
cogeneration,3
information management,3
feature extraction,3
fuzzy inference,3
three term control systems,3
proportional control systems,3
micro grid,3
lagrange multipliers,3
autonomous operations,3
gas turbines,3
clean energy,3
convolution,3
backpropagation,3
bayesian analysis,3
forestry,3
power flows,3
phasor measurement units,3
bayesian networks,3
strategic approach,3
predictive analytics,3
prediction accuracy,3
resource adequacy,3
design of experiments,3
active learning,3
multi fidelities,3
probabilistics,3
parameter estimation,3
management systems,3
hybrid vehicles,3
calibration,3
optimizers,3
electric load management,3
transient analysis,3
hybrid model,3
ships,2
power plant,2
physics based models,2
electrokinesis,2
network architecture,2
transfer learning,2
network security,2
real time operation,2
stability criterions,2
wake,2
pump,2
equipment,2
k means clustering,2
transients,2
value engineering,2
large scale systems,2
transient stability indices,2
retrofit solutions,2
retrofitting,2
seasonal variation,2
multicriteria analysis,2
climate models,2
cooling load,2
energy consumption,2
natural resources,2
time series,2
energy prediction,2
adaptive boosting,2
proportional integral controllers,2
analysis of variance anova,2
process based,2
temperature control,2
stochastic uncertainties,2
probability density function,2
voltage distribution measurement,2
low voltage distribution system,2
kernel,2
embedded systems,2
sales,2
domestic appliances,2
variance reduction techniques,2
methane,2
natural gasoline plants,2
natural gas,2
meta heuristic techniques,2
stochastic programming,2
comparative study,2
waste heat,2
heat exchangers,2
energy conservation,2
control strategies,2
combined cooling heating and power,2
structural dynamics,2
mixed integer,2
heat transfer,2
energy use,2
meteorology,2
proportional integral derivatives,2
electric frequency control,2
power management,2
electric inverters,2
multi objective functions,2
experimental design,2
probabilistic load flow,2
brain,2
input output programs,2
memory network,2
capacity estimation,2
errors,2
firefly algorithms,2
heuristic methods,2
energy security,2
distributed energy,2
grid operation,2
meta heuristics algorithms,2
distributed computer systems,2
function evaluation,2
mimo systems,2
air conditioning,2
milp,2
latin hypercube sampling,2
data reduction,2
management strategies,2
multi task learning,2
high dimensional,2
aerodynamics,2
root mean square errors,2
thermodynamics,2
extraction,2
extreme learning machine,2
state of the art,2
knowledge acquisition,2
ensemble learning,2
input variables,2
electric batteries,2
turbine,2
fuels,2
hulls ship,2
energy demands,2
ground penetrating radar systems,2
nearest neighbor search,2
cosimulation,2
training,2
data set,2
random variables,2
convergence,2
design method,2
demand analysis,2
electricity consumption,2
prediction modelling,2
condition,2
weibull distribution,2
dynamics,2
synchronous machinery,2
hvdc power transmission,2
auxiliary equipment,2
population statistics,2
vehicle energy,2
intrinsic mode functions,2
empirical mode decomposition,2
engine,2
empirical analysis,2
decomposition analysis,2
algorithms,2
historic preservation,2
sliding mode control,2
adaptive control systems,2
predictive modeling,2
compressive sensing,2
compressed sensing,2
power grids,2
thyristor controlled series compensator,2
induction motors,2
automatic generation control,2
generation controls,2
automatic generation,2
birds,2
profitability,2
externally fired gas turbines,2
combustion,2
power allocations,2
combined cooling,2
voltage regulators,2
distributed generators,2
coot bird metaheuristic optimizer,2
metaheuristic,2
exergy efficiencies,2
ammonia,2
global warming,2
quality of service,2
distribution systems,2
gradient methods,2
modeling data,2
nuclear fuels,2
marine vehicles,1
powertrains,1
ship propulsion,1
model method,1
virtual reality,1
boundary parameters,1
option selection,1
deep integrations,1
end to end e2e learning,1
digitization,1
technical constraints,1
physic informed,1
functionals,1
behavioral research,1
e learning,1
xizang,1
lhasa,1
proton exchange membranes,1
oxygen,1
co production,1
supervised learning,1
engineering modeling,1
security constrained unit commitment,1
security constraint,1
continuous variables,1
computer architecture,1
biological systems,1
repair,1
biological system modeling,1
stability criteria,1
computational expense,1
small signal stability,1
orders of magnitude,1
simulation studies,1
network structures,1
graph representation,1
reasoning procedures,1
experimental study,1
power estimations,1
statistical criterion,1
distillation,1
wavelet transforms,1
short term voltage stability,1
stability,1
electric industry,1
deep belief networks,1
control system stability,1
electric load shedding,1
extensive simulations,1
deep belief network dbn,1
tropics,1
pollution control,1
c++ programming language,1
system configurations,1
software implementation,1
zurich,1
operational energy,1
computer simulation,1
ecological footprint,1
seismic retrofit,1
greenhouse gas,1
residential location,1
community design,1
domestic hot water,1
performance targets,1
residential house,1
latitude,1
district cooling,1
high rise,1
climate cooling,1
hot and humid climate,1
residential districts,1
independent variables,1
distribution system simulators,1
