panel,x,y,signal,n
A_bubble,P1/P3 replace,Constraint NN,constraint,14
A_bubble,P2 accelerate,Constraint NN,constraint,1
A_bubble,P5 uncertainty,Constraint NN,constraint,11
A_bubble,Input / weak,GP/Kriging,basic,15
A_bubble,P1/P3 replace,GP/Kriging,adaptive,1
A_bubble,P1/P3 replace,GP/Kriging,basic,7
A_bubble,P1/P3 replace,GP/Kriging,uncertainty,3
A_bubble,P2 accelerate,GP/Kriging,adaptive,15
A_bubble,P2 accelerate,GP/Kriging,basic,3
A_bubble,P2 accelerate,GP/Kriging,decision,1
A_bubble,P2 accelerate,GP/Kriging,uncertainty,1
A_bubble,P4 decompose,GP/Kriging,basic,4
A_bubble,P5 uncertainty,GP/Kriging,uncertainty,18
A_bubble,Input / weak,Hybrid/PINN,physics,4
A_bubble,P1/P3 replace,Hybrid/PINN,physics,2
A_bubble,P2 accelerate,Hybrid/PINN,physics,1
A_bubble,P5 uncertainty,Hybrid/PINN,physics,1
A_bubble,P1/P3 replace,L2O,decision,14
A_bubble,P4 decompose,L2O,decision,1
A_bubble,P5 uncertainty,L2O,decision,1
A_bubble,Input / weak,NN,basic,9
A_bubble,Input / weak,NN,decision,1
A_bubble,P1/P3 replace,NN,adaptive,1
A_bubble,P1/P3 replace,NN,basic,2
A_bubble,P1/P3 replace,NN,uncertainty,2
A_bubble,P2 accelerate,NN,adaptive,2
A_bubble,P2 accelerate,NN,basic,6
A_bubble,P2 accelerate,NN,uncertainty,3
A_bubble,P5 uncertainty,NN,uncertainty,3
A_bubble,Input / weak,PCE/RSM,basic,12
A_bubble,P1/P3 replace,PCE/RSM,basic,2
A_bubble,P1/P3 replace,PCE/RSM,uncertainty,7
A_bubble,P2 accelerate,PCE/RSM,adaptive,2
A_bubble,P2 accelerate,PCE/RSM,basic,8
A_bubble,P2 accelerate,PCE/RSM,decision,1
A_bubble,P2 accelerate,PCE/RSM,uncertainty,2
A_bubble,P5 uncertainty,PCE/RSM,decision,1
A_bubble,P5 uncertainty,PCE/RSM,uncertainty,16
A_bubble,Input / weak,RBF/Kernel,basic,12
A_bubble,Input / weak,RBF/Kernel,decision,1
A_bubble,P1/P3 replace,RBF/Kernel,basic,9
A_bubble,P1/P3 replace,RBF/Kernel,uncertainty,1
A_bubble,P2 accelerate,RBF/Kernel,basic,2
A_bubble,P2 accelerate,RBF/Kernel,uncertainty,1
A_bubble,P5 uncertainty,RBF/Kernel,uncertainty,6
A_bubble,Input / weak,Tree,basic,2
A_bubble,P1/P3 replace,Tree,basic,1
A_bubble,P2 accelerate,Tree,adaptive,2
A_bubble,P4 decompose,Tree,basic,1
A_bubble,P5 uncertainty,Tree,uncertainty,1
B_alluvial_record,P5 uncertainty,GP/Kriging,Uncertainty,1
B_alluvial_record,P1/P3 replace,GP/Kriging,Feasibility,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P5 uncertainty,GP/Kriging,Uncertainty,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P1/P3 replace,PCE/RSM,Uncertainty,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P1/P3 replace,PCE/RSM,Feasibility,1
B_alluvial_record,P4 decompose,GP/Kriging,Point metrics,1
B_alluvial_record,P2 accelerate,GP/Kriging,Point metrics,1
B_alluvial_record,P2 accelerate,RBF/Kernel,Uncertainty,1
B_alluvial_record,P2 accelerate,NN,Feasibility,1
B_alluvial_record,P2 accelerate,GP/Kriging,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P1/P3 replace,PCE/RSM,Uncertainty,1
B_alluvial_record,P2 accelerate,NN,Point metrics,1
B_alluvial_record,P2 accelerate,NN,Point metrics,1
B_alluvial_record,P4 decompose,PCE/RSM,Feasibility,1
B_alluvial_record,P2 accelerate,PCE/RSM,Feasibility,1
B_alluvial_record,P2 accelerate,PCE/RSM,Stress test,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Feasibility,1
B_alluvial_record,P2 accelerate,NN,Uncertainty,1
B_alluvial_record,P2 accelerate,PCE/RSM,Uncertainty,1
B_alluvial_record,P2 accelerate,PCE/RSM,Feasibility,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,NN,Feasibility,1
B_alluvial_record,P1/P3 replace,GP/Kriging,Uncertainty,1
B_alluvial_record,P1/P3 replace,RBF/Kernel,Point metrics,1
B_alluvial_record,P5 uncertainty,GP/Kriging,Uncertainty,1
B_alluvial_record,P1/P3 replace,RBF/Kernel,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P1/P3 replace,GP/Kriging,Point metrics,1
B_alluvial_record,P5 uncertainty,RBF/Kernel,Uncertainty,1
B_alluvial_record,P1/P3 replace,--,Point metrics,1
B_alluvial_record,P1/P3 replace,PCE/RSM,Uncertainty,1
B_alluvial_record,P1/P3 replace,GP/Kriging,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P1/P3 replace,RBF/Kernel,Feasibility,1
B_alluvial_record,P1/P3 replace,RBF/Kernel,Point metrics,1
B_alluvial_record,P5 uncertainty,GP/Kriging,Uncertainty,1
B_alluvial_record,P4 decompose,GP/Kriging,Point metrics,1
B_alluvial_record,P1/P3 replace,GP/Kriging,Point metrics,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P1/P3 replace,Tree,Point metrics,1
B_alluvial_record,P5 uncertainty,GP/Kriging,Uncertainty,1
B_alluvial_record,P2 accelerate,NN,Feasibility,1
B_alluvial_record,P1/P3 replace,RBF/Kernel,Feasibility,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P5 uncertainty,PCE/RSM,Uncertainty,1
B_alluvial_record,P1/P3 replace,NN,Interval calibration,1
B_alluvial_record,P5 uncertainty,PCE/RSM,Stress test,1
B_alluvial_record,P2 accelerate,NN,Feasibility,1
B_alluvial_record,P2 accelerate,GP/Kriging,Interval calibration,1
B_alluvial_record,P2 accelerate,PCE/RSM,Uncertainty,1
B_alluvial_record,P2 accelerate,PCE/RSM,Point metrics,1
B_alluvial_record,P2 accelerate,RBF/Kernel,Point metrics,1
B_alluvial_record,P2 accelerate,NN,Feasibility,1
B_alluvial_record,P1/P3 replace,RBF/Kernel,Interval calibration,1
B_alluvial_record,P1/P3 replace,NN,Point metrics,1
B_alluvial_record,P1/P3 replace,GP/Kriging,Point metrics,1
