panel,x,y,signal,n
A_bubble,P1,Constraint-aware NN,Interval calibration,3
A_bubble,P1,GP / kriging,Point metrics (RMSE/MAE/R²),12
A_bubble,P2,GP / kriging,Point metrics (RMSE/MAE/R²),5
A_bubble,P4,GP / kriging,Point metrics (RMSE/MAE/R²),2
A_bubble,P5,GP / kriging,Uncertainty (problem UQ),12
A_bubble,P1,Neural network,Point metrics (RMSE/MAE/R²),16
A_bubble,P2,Neural network,Feasibility rate,13
A_bubble,P5,Neural network,Uncertainty (problem UQ),1
A_bubble,P1,PCE / RSM,Uncertainty (problem UQ),11
A_bubble,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),19
A_bubble,P4,PCE / RSM,Feasibility rate,1
A_bubble,P5,PCE / RSM,Uncertainty (problem UQ),11
A_bubble,P1,RBF / kernel,Point metrics (RMSE/MAE/R²),13
A_bubble,P2,RBF / kernel,Uncertainty (problem UQ),2
A_bubble,P5,RBF / kernel,Uncertainty (problem UQ),1
A_bubble,P1,Tree ensembles,Feasibility rate,3
A_bubble,P2,Tree ensembles,Uncertainty (problem UQ),1
B_alluvial_record,P5,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P1,GP / kriging,Feasibility rate,1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,PCE / RSM,Feasibility rate,1
B_alluvial_record,P4,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,RBF / kernel,Uncertainty (problem UQ),1
B_alluvial_record,P2,Neural network,Feasibility rate,1
B_alluvial_record,P2,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P2,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P4,PCE / RSM,Feasibility rate,1
B_alluvial_record,P2,PCE / RSM,Feasibility rate,1
B_alluvial_record,P2,PCE / RSM,Stress test,1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Feasibility rate,1
B_alluvial_record,P2,Neural network,Uncertainty (problem UQ),1
B_alluvial_record,P2,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P2,PCE / RSM,Feasibility rate,1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,Neural network,Feasibility rate,1
B_alluvial_record,P1,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P1,RBF / kernel,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P1,RBF / kernel,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,RBF / kernel,Uncertainty (problem UQ),1
B_alluvial_record,P1,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P1,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,RBF / kernel,Feasibility rate,1
B_alluvial_record,P1,RBF / kernel,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P4,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,Tree ensembles,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P2,Neural network,Feasibility rate,1
B_alluvial_record,P1,RBF / kernel,Feasibility rate,1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P1,Neural network,Interval calibration,1
B_alluvial_record,P5,PCE / RSM,Stress test,1
B_alluvial_record,P2,Neural network,Feasibility rate,1
B_alluvial_record,P2,GP / kriging,Interval calibration,1
B_alluvial_record,P2,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P2,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,RBF / kernel,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P2,Neural network,Feasibility rate,1
B_alluvial_record,P1,RBF / kernel,Interval calibration,1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,GP / kriging,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P5,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P5,Neural network,Uncertainty (problem UQ),1
B_alluvial_record,P1,RBF / kernel,Uncertainty (problem UQ),1
B_alluvial_record,P1,Neural network,Decision-aware (regret/gap),1
B_alluvial_record,P1,PCE / RSM,Interval calibration,1
B_alluvial_record,P5,PCE / RSM,Feasibility rate,1
B_alluvial_record,P1,Neural network,Decision-aware (regret/gap),1
B_alluvial_record,P1,Neural network,Feasibility rate,1
B_alluvial_record,P2,GP / kriging,Feasibility rate,1
B_alluvial_record,P1,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P5,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P5,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P1,Tree ensembles,Feasibility rate,1
B_alluvial_record,P5,PCE / RSM,Feasibility rate,1
B_alluvial_record,P5,PCE / RSM,Uncertainty (problem UQ),1
B_alluvial_record,P1,Neural network,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,PCE / RSM,Point metrics (RMSE/MAE/R²),1
B_alluvial_record,P1,GP / kriging,Uncertainty (problem UQ),1
B_alluvial_record,P2,Neural network,Point metrics (RMSE/MAE/R²),1
