date,day_type,metric,improvement_pct,original_change_pct,shifted_heat_mwh,rebound_over_shifted_pct,max_tin_above_setpoint_k
2023-01-17,cold contrast,Cost,0.31,-0.31,0.0,,0.0
2023-01-17,cold contrast,CO2,0.81,-0.81,0.0,,0.0
2023-01-17,cold contrast,Boiler energy,1.37,-1.37,0.0,,0.0
2023-01-17,cold contrast,Boiler peak,-0.0,0.0,0.0,,0.0
2023-02-21,"robust savings, peak kink",Cost,2.5,-2.5,2515.7,86.3,2.76
2023-02-21,"robust savings, peak kink",CO2,6.37,-6.37,2515.7,86.3,2.76
2023-02-21,"robust savings, peak kink",Boiler energy,21.54,-21.54,2515.7,86.3,2.76
2023-02-21,"robust savings, peak kink",Boiler peak,-3.68,3.68,2515.7,86.3,2.76
2023-03-04,robust savings,Cost,2.08,-2.08,2104.2,84.0,2.59
2023-03-04,robust savings,CO2,4.94,-4.94,2104.2,84.0,2.59
2023-03-04,robust savings,Boiler energy,14.81,-14.81,2104.2,84.0,2.59
2023-03-04,robust savings,Boiler peak,-0.0,0.0,2104.2,84.0,2.59
2023-03-16,robust savings,Cost,1.97,-1.97,2489.3,70.5,2.7
2023-03-16,robust savings,CO2,5.21,-5.21,2489.3,70.5,2.7
2023-03-16,robust savings,Boiler energy,18.15,-18.15,2489.3,70.5,2.7
2023-03-16,robust savings,Boiler peak,-0.0,0.0,2489.3,70.5,2.7
2023-03-18,robust savings,Cost,2.16,-2.16,2137.5,82.7,2.39
2023-03-18,robust savings,CO2,5.01,-5.01,2137.5,82.7,2.39
2023-03-18,robust savings,Boiler energy,15.16,-15.16,2137.5,82.7,2.39
2023-03-18,robust savings,Boiler peak,-0.0,0.0,2137.5,82.7,2.39
2023-03-23,"robust savings, peak kink",Cost,1.69,-1.69,2569.2,57.2,2.79
2023-03-23,"robust savings, peak kink",CO2,4.23,-4.23,2569.2,57.2,2.79
2023-03-23,"robust savings, peak kink",Boiler energy,13.61,-13.61,2569.2,57.2,2.79
2023-03-23,"robust savings, peak kink",Boiler peak,-11.57,11.57,2569.2,57.2,2.79
2023-04-03,late-season CO2 kink,Cost,-0.0,0.0,2342.8,1.3,2.41
2023-04-03,late-season CO2 kink,CO2,-0.18,0.18,2342.8,1.3,2.41
2023-04-03,late-season CO2 kink,Boiler energy,-0.88,0.88,2342.8,1.3,2.41
2023-04-03,late-season CO2 kink,Boiler peak,-0.0,0.0,2342.8,1.3,2.41
2023-04-04,late-season CO2 kink,Cost,0.01,-0.01,3036.4,0.0,2.88
2023-04-04,late-season CO2 kink,CO2,-0.19,0.19,3036.4,0.0,2.88
2023-04-04,late-season CO2 kink,Boiler energy,-1.45,1.45,3036.4,0.0,2.88
2023-04-04,late-season CO2 kink,Boiler peak,-0.0,0.0,3036.4,0.0,2.88
2023-04-12,late-season near-neutral day,Cost,0.01,-0.01,2952.2,0.0,2.88
2023-04-12,late-season near-neutral day,CO2,-0.18,0.18,2952.2,0.0,2.88
2023-04-12,late-season near-neutral day,Boiler energy,-1.32,1.32,2952.2,0.0,2.88
2023-04-12,late-season near-neutral day,Boiler peak,-0.0,0.0,2952.2,0.0,2.88
2023-11-04,best joint savings day,Cost,3.42,-3.42,2545.7,85.3,2.76
2023-11-04,best joint savings day,CO2,6.86,-6.86,2545.7,85.3,2.76
2023-11-04,best joint savings day,Boiler energy,28.45,-28.45,2545.7,85.3,2.76
2023-11-04,best joint savings day,Boiler peak,44.08,-44.08,2545.7,85.3,2.76
